Top {pid = 7259, user = "fiendfa+", pr = 20, ni = 0, virt = 232840.0, res = 127984.0, shr = 27752.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:01.54"}
Top {pid = 7259, user = "fiendfa+", pr = 20, ni = 0, virt = 232840.0, res = 127984.0, shr = 27752.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:01.56"}
Top {pid = 7259, user = "fiendfa+", pr = 20, ni = 0, virt = 232840.0, res = 127984.0, shr = 27752.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:01.58"}
Top {pid = 7259, user = "fiendfa+", pr = 20, ni = 0, virt = 232840.0, res = 127984.0, shr = 27752.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:01.60"}
Top {pid = 7259, user = "fiendfa+", pr = 20, ni = 0, virt = 232840.0, res = 127984.0, shr = 27752.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:01.61"}
Top {pid = 7259, user = "fiendfa+", pr = 20, ni = 0, virt = 232840.0, res = 127984.0, shr = 27752.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:01.63"}
Top {pid = 7259, user = "fiendfa+", pr = 20, ni = 0, virt = 232840.0, res = 127984.0, shr = 27752.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:01.64"}
Top {pid = 7259, user = "fiendfa+", pr = 20, ni = 0, virt = 232840.0, res = 127984.0, shr = 27752.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:01.66"}
Top {pid = 7259, user = "fiendfa+", pr = 20, ni = 0, virt = 232840.0, res = 127984.0, shr = 27752.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:01.68"}
Top {pid = 7259, user = "fiendfa+", pr = 20, ni = 0, virt = 232840.0, res = 127984.0, shr = 27752.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:01.69"}
Top {pid = 7259, user = "fiendfa+", pr = 20, ni = 0, virt = 232840.0, res = 127984.0, shr = 27752.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:01.70"}
Top {pid = 7259, user = "fiendfa+", pr = 20, ni = 0, virt = 232840.0, res = 127984.0, shr = 27752.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:01.71"}
Top {pid = 7259, user = "fiendfa+", pr = 20, ni = 0, virt = 232840.0, res = 127984.0, shr = 27752.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:01.73"}
Top {pid = 7259, user = "fiendfa+", pr = 20, ni = 0, virt = 232840.0, res = 127984.0, shr = 27752.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:01.74"}
Top {pid = 7259, user = "fiendfa+", pr = 20, ni = 0, virt = 232840.0, res = 127984.0, shr = 27752.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:01.75"}
Top {pid = 7259, user = "fiendfa+", pr = 20, ni = 0, virt = 232840.0, res = 127984.0, shr = 27752.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:01.77"}
Top {pid = 7259, user = "fiendfa+", pr = 20, ni = 0, virt = 232840.0, res = 127984.0, shr = 27752.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:01.78"}
