Top {pid = 9282, user = "fiendfa+", pr = 20, ni = 0, virt = 232776.0, res = 127836.0, shr = 27544.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:01.42"}
Top {pid = 9282, user = "fiendfa+", pr = 20, ni = 0, virt = 232776.0, res = 127836.0, shr = 27544.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:01.44"}
Top {pid = 9282, user = "fiendfa+", pr = 20, ni = 0, virt = 232776.0, res = 127836.0, shr = 27544.0, s = 'S', cpu = 20.0, mem = 0.8, time = "0:01.47"}
Top {pid = 9282, user = "fiendfa+", pr = 20, ni = 0, virt = 232776.0, res = 127836.0, shr = 27544.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:01.48"}
Top {pid = 9282, user = "fiendfa+", pr = 20, ni = 0, virt = 232776.0, res = 127836.0, shr = 27544.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:01.50"}
Top {pid = 0, user = "fiendfa+", pr = 20, ni = 0, virt = 232776.0, res = 127836.0, shr = 27544.0, s = 'R', cpu = 13.3, mem = 0.8, time = "0:01.52"}
Top {pid = 9282, user = "fiendfa+", pr = 20, ni = 0, virt = 232776.0, res = 127836.0, shr = 27544.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:01.53"}
Top {pid = 9282, user = "fiendfa+", pr = 20, ni = 0, virt = 232776.0, res = 127836.0, shr = 27544.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:01.54"}
Top {pid = 9282, user = "fiendfa+", pr = 20, ni = 0, virt = 232776.0, res = 127836.0, shr = 27544.0, s = 'S', cpu = 20.0, mem = 0.8, time = "0:01.57"}
Top {pid = 9282, user = "fiendfa+", pr = 20, ni = 0, virt = 232776.0, res = 127836.0, shr = 27544.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:01.59"}
Top {pid = 9282, user = "fiendfa+", pr = 20, ni = 0, virt = 232776.0, res = 127836.0, shr = 27544.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:01.60"}
