Top {pid = 598, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127948.0, shr = 27656.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:02.36"}
Top {pid = 598, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127948.0, shr = 27656.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:02.38"}
Top {pid = 598, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127948.0, shr = 27656.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:02.40"}
Top {pid = 598, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127948.0, shr = 27656.0, s = 'S', cpu = 0.0, mem = 0.8, time = "0:02.40"}
Top {pid = 598, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127948.0, shr = 27656.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:02.42"}
Top {pid = 598, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127948.0, shr = 27656.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:02.43"}
Top {pid = 598, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127948.0, shr = 27656.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:02.46"}
Top {pid = 598, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127948.0, shr = 27656.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:02.47"}
Top {pid = 598, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127948.0, shr = 27656.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:02.48"}
Top {pid = 598, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127948.0, shr = 27656.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:02.50"}
Top {pid = 598, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127948.0, shr = 27656.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:02.51"}
Top {pid = 598, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127948.0, shr = 27656.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:02.53"}
Top {pid = 598, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127948.0, shr = 27656.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:02.54"}
Top {pid = 598, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127948.0, shr = 27656.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:02.56"}
Top {pid = 598, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127948.0, shr = 27656.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:02.58"}
Top {pid = 598, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127948.0, shr = 27656.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:02.59"}
Top {pid = 598, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127948.0, shr = 27656.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:02.61"}
Top {pid = 0, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127948.0, shr = 27656.0, s = 'R', cpu = 6.7, mem = 0.8, time = "0:02.62"}
Top {pid = 598, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127948.0, shr = 27656.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:02.63"}
Top {pid = 598, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127948.0, shr = 27656.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:02.65"}
Top {pid = 0, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127948.0, shr = 27656.0, s = 'R', cpu = 6.7, mem = 0.8, time = "0:02.66"}
Top {pid = 598, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127948.0, shr = 27656.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:02.68"}
Top {pid = 598, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127948.0, shr = 27656.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:02.69"}
Top {pid = 598, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127948.0, shr = 27656.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:02.71"}
Top {pid = 598, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127948.0, shr = 27656.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:02.73"}
Top {pid = 0, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127948.0, shr = 27656.0, s = 'R', cpu = 6.7, mem = 0.8, time = "0:02.74"}
Top {pid = 598, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127948.0, shr = 27656.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:02.76"}
Top {pid = 598, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127948.0, shr = 27656.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:02.77"}
Top {pid = 598, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127948.0, shr = 27656.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:02.78"}
Top {pid = 598, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127948.0, shr = 27656.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:02.80"}
Top {pid = 598, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127948.0, shr = 27656.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:02.81"}
Top {pid = 598, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127948.0, shr = 27656.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:02.82"}
Top {pid = 598, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127948.0, shr = 27656.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:02.85"}
Top {pid = 598, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127948.0, shr = 27656.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:02.86"}
Top {pid = 598, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127948.0, shr = 27656.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:02.88"}
